Time,Title,Type,Location,Details,Link
08:00 - 09:00,Registration,Opening,Glamorgan,Coordinator: Beverly Francis,
09:00 - 09:15,Welcome and opening,Opening,"Glamorgan, Room 0.81","Bahman Rostami-Tabar: Welcome || Harsha Halgamuwe Hewage: General Information",
09:15 - 10:30,Session 1: Opening Keynote,Keynote,"Glamorgan, Room 0.81","Speaker: Professor Sir David Spiegelhalter || Title: The Art of Uncertainty: planning for a future that is hard to imagine || Chair: Bahman Rostami-Tabar",../speakers/sir-david-spiegelhalter.html
10:30 - 11:00,Break,Break,"Glamorgan, Room 1.67",,
11:00 - 11:30,Session 2: Icebreaker,Activity,"Bute, Room 0.15","Lead: Peter Madden || Coordinator: Amir Salimi Babamiri",
11:30 - 12:30,Session 3: Workshop,Workshop,"Bute, Room 0.15","Speaker: Prof. Mohammed Amin Mohammed || Title: Decision Quality and Uncertainty || Coordinator: Fatemeh Monshizadeh",../workshop/decision-quality.html
12:30 - 13:30,Lunch,Lunch,"Glamorgan, Room 1.67",,
13:30 - 15:00,Session 4: Workshop,Workshop,"Bute, Room 0.15","Speaker: Prof. Mohammed Amin Mohammed || Title: Decision Quality and Uncertainty || Coordinator: Fatemeh Monshizadeh",../workshop/decision-quality.html
15:00 - 15:30,Break,Break,"Glamorgan, Room 1.67",,
15:30 - 17:00,Session 5: Workshop,Workshop,"Bute, Room 0.15","Speakers: Dr Laura Barritt || Dr Theo Humphries || Title: Agitate, anticipate, aggregate: Worlding new systems for learning and living through poetic engagement across disciplines || Coordinator: Harsha Halgamuwe Hewage",../workshop/poetic-worlding.html
17:15 - 19:00,Cardiff Tour,Social,Meeting point: Glamorgan Building stairs,"Group 1: Dr Neil Harris || Group 2: Dr Brian Webb || Coordinator: Amirhossein Ghadiri",
