Time,Session,Type,Speaker,Links
09:00–10:15,Keynote 2,Keynote,Prof. E. Duarte,Abstract
10:15–10:30,Presentation 6,Talk,Speaker,Abstract
10:30–11:00,Refreshment Break,Break,,—
11:00–12:15,Workshop 2 – Session 1,Workshop,Dr. C. Laurent,Description
12:15–12:30,Presentation 7,Talk,Speaker,Abstract
12:30–13:30,Lunch,Lunch,,—
13:30–14:45,Workshop 2 – Session 2,Workshop,Dr. C. Laurent,Description
14:45–15:15,Refreshment Break,Break,,—
15:15–16:30,Panel 1,Panel,Moderator + Panelists,Bios
16:30–16:50,Presentation 8,Talk,Speaker,Abstract
16:50–17:00,Presentation 9,Talk,Speaker,Abstract
