Time,Session,Type,Speaker,Links
09:00–09:25,Presentation 14,Talk,Speaker,Abstract
09:25–09:50,Presentation 15,Talk,Speaker,Abstract
09:50–10:15,Presentation 16,Talk,Speaker,Abstract
10:15–10:30,Transition,Break,,—
10:30–11:00,Refreshment Break,Break,,—
11:00–12:15,Workshop 4 – Session 1,Workshop,Dr. F. Zhou,Description
12:15–12:30,Presentation 17,Talk,Speaker,Abstract
12:30–13:30,Lunch,Lunch,,—
13:30–14:45,Workshop 4 – Session 2,Workshop,Dr. F. Zhou,Description
14:45–15:15,Refreshment Break,Break,,—
15:15–15:40,Presentation 18,Talk,Speaker,Abstract
15:40–16:05,Presentation 19,Talk,Speaker,Abstract
16:05–17:00,Open Discussion Session,Discussion,Committee,—
