model,country,domain,forecast_horizon,runtime
TimeGPT-1,Côte d'Ivoire,Family Planning,1,4
TimeGPT-1-FT,Côte d'Ivoire,Family Planning,1,14.3
TimeGPT-1,Côte d'Ivoire,Family Planning,3,2.4
TimeGPT-1-FT,Côte d'Ivoire,Family Planning,3,5.7
TimeGPT-1,Côte d'Ivoire,Family Planning,6,2
TimeGPT-1-FT,Côte d'Ivoire,Family Planning,6,7.3
TimeGPT-1,Lao,Family Planning,1,5.1
TimeGPT-1-FT,Lao,Family Planning,1,22.9
TimeGPT-1,Lao,Pharmaceutical,1,55.8
TimeGPT-1-FT,Lao,Pharmaceutical,1,56.5
TimeGPT-1,Lao,Family Planning,3,3.8
TimeGPT-1-FT,Lao,Family Planning,3,7.7
TimeGPT-1,Lao,Pharmaceutical,3,25.4
TimeGPT-1-FT,Lao,Pharmaceutical,3,37.9
TimeGPT-1,Lao,Family Planning,6,2.9
TimeGPT-1-FT,Lao,Family Planning,6,12.4
TimeGPT-1,Lao,Pharmaceutical,6,21.9
TimeGPT-1-FT,Lao,Pharmaceutical,6,18.5
TimeGPT-1,Pakistan,Family Planning,1,6.2
TimeGPT-1-FT,Pakistan,Family Planning,1,31.1
TimeGPT-1,Pakistan,Family Planning,3,3.6
TimeGPT-1-FT,Pakistan,Family Planning,3,9.3
TimeGPT-1,Pakistan,Family Planning,6,2.9
TimeGPT-1-FT,Pakistan,Family Planning,6,6
Chronos-t5-tiny,Côte d'Ivoire,Family Planning,1,14289.1
Chronos-t5-tiny,Côte d'Ivoire,Family Planning,2,2896.35
Chronos-t5-tiny,Côte d'Ivoire,Family Planning,3,1915.15
Chronos-t5-tiny,Lao,Family Planning,1,11595.9
Chronos-t5-tiny,Lao,Family Planning,3,5171.9
Chronos-t5-tiny,Lao,Family Planning,6,1980.3
Chronos-t5-tiny,Pakistan,Family Planning,1,38945.4
Chronos-t5-tiny,Pakistan,Family Planning,3,9637
Chronos-t5-tiny,Pakistan,Family Planning,6,5405.9
AutoARIMA,Côte d'Ivoire,Family Planning,1,2085
AutoARIMA,Côte d'Ivoire,Family Planning,3,656.9
AutoARIMA,Côte d'Ivoire,Family Planning,6,270.7
AutoARIMA,Lao,Family Planning,1,2192.8
AutoARIMA,Lao,Family Planning,3,714.2
AutoARIMA,Lao,Family Planning,6,387.3
AutoARIMA,Pakistan,Family Planning,1,6974
AutoARIMA,Pakistan,Family Planning,3,847.3
AutoARIMA,Pakistan,Family Planning,6,364.7
Mean,Côte d'Ivoire,Family Planning,1,160.5
Mean,Côte d'Ivoire,Family Planning,3,50
Mean,Côte d'Ivoire,Family Planning,6,25.2
Mean,Lao,Family Planning,1,154.9
Mean,Lao,Family Planning,3,52.2
Mean,Lao,Family Planning,6,26
Mean,Pakistan,Family Planning,1,154.1
Mean,Pakistan,Family Planning,3,51.8
Mean,Pakistan,Family Planning,6,26.1
Naive,Côte d'Ivoire,Family Planning,1,160.5
Naive,Côte d'Ivoire,Family Planning,3,51.5
Naive,Côte d'Ivoire,Family Planning,6,26.1
Naive,Lao,Family Planning,1,149.6
Naive,Lao,Family Planning,3,50.8
Naive,Lao,Family Planning,6,25.4
Naive,Pakistan,Family Planning,1,149
Naive,Pakistan,Family Planning,3,49.6
Naive,Pakistan,Family Planning,6,26.7
AutoETS,Côte d'Ivoire,Family Planning,1,217
AutoETS,Côte d'Ivoire,Family Planning,3,77.2
AutoETS,Côte d'Ivoire,Family Planning,6,37.3
AutoETS,Lao,Family Planning,1,257.2
AutoETS,Lao,Family Planning,3,84.9
AutoETS,Lao,Family Planning,6,41.6
AutoETS,Pakistan,Family Planning,1,276.1
AutoETS,Pakistan,Family Planning,3,92.3
AutoETS,Pakistan,Family Planning,6,45.9
Chronos-bolt-tiny,Côte d'Ivoire,Family Planning,1,544.6
Chronos-bolt-tiny,Côte d'Ivoire,Family Planning,3,176.1
Chronos-bolt-tiny,Côte d'Ivoire,Family Planning,6,88.8
Chronos-bolt-tiny,Lao,Family Planning,1,784.8
Chronos-bolt-tiny,Lao,Family Planning,3,281.8
Chronos-bolt-tiny,Lao,Family Planning,6,140
Chronos-bolt-tiny,Pakistan,Family Planning,1,1113.1
Chronos-bolt-tiny,Pakistan,Family Planning,3,382
Chronos-bolt-tiny,Pakistan,Family Planning,6,122
